Initial_day,Final_day,Alfalfa,Ash,Bluestem,Oak,Pine
10,15,500,300,150,150,60
15,20,400,150,150,135,51
20,28,300,150,75,123,42
28,39,300,150,75,108,36
39,64,150,250,200,99,30
64,76,50,150,75,90,27
76,95,20,150,200,81,24
95,118,8,150,75,72,18
118,152,6,150,75,66,15
152,181,4,150,75,57,15
181,228,3,150,75,51,12
228,284,2,100,75,48,9
284,365,1,100,75,14,9
