Litter,Init_mass,Init_mass_sd,Fdoc,Fdoc_sd,Fsoluble,Fsoluble_sd,Flig,Flig_sd
Alfalfa,885000,669.7,0.1479,0.0297,0.7029,0.02625,0.0805,0.0174
Ash,934000,420.6,0.1479,0.0297,0.519,0.02864,0.1445,0.0187
Bluestem,884600,386.5,0.1479,0.0297,0.2725,0.02629,0.1276,0.0184
Oak,953500,926.5,0.1479,0.0297,0.4024,0.02618,0.2676,0.0186
Pine,1050000,445.9,0.05916,0.011896,0.3462,0.02687,0.3179,0.0186
