Litter,1,2,3,4,5,6
Alfalfa,109419.3,107073.3,103671.3,94323.27,120291.3,119049.3
Ash,95586.27,92556.27,84795.27,87492.27,83088.27,89730.27
Bluestem,37068.27,32184.27,35841.27,33581.07,26498.67,31538.67
Oak,45276.27,37884.27,48558.27,42117.27,33483.27,44976.27
Pine,18770.07,15907.47,21710.07,21171.87,18886.47,22640.67
