Litter,Soong_hi,Soong_lo,Lit_hi,Lit_lo
Alfalfa,71.47766128,72.44345438,71.38970048,72.35549357
Ash,64.50804313,66.43401979,37.82360327,39.74957993
Bluestem,26.4937862,28.23931066,24.24553845,25.99106292
Oak,45.20155214,48.80489776,32.60619644,36.20954206
Pine,43.16849422,47.42505641,24.45895136,28.71551355
