Litter,Exp_HWE,LIDET_HWE,HiLit_HWE
Alfalfa,28.31710441,46,75
Ash,25.39857565,40,67
Bluestem,11.14925071,42,70
Oak,18.66042567,31,54
Pine,9.280909243,21,42
