Litter,Initial_date,Final_Date,1,2,3,4,5,6
Oak,4,7,20572.88723,26668.48007,23362.28633,25246.00281,24601.30149,21429.47435
Oak,7,10,19991.58431,19903.78437,19564.03676,21626.69921,4732.844757,13664.89849
Oak,10,15,30401.54146,33544.79707,37187.24754,36175.72113,32515.35697,23749.59093
Oak,15,20,23073.23608,21826.18931,23604.92268,23175.94826,28742.94872,26498.98956
Oak,20,28,30656.57427,22579.32077,34173.33863,24365.11133,31820.465,25920.43993
Oak,28,39,27978.66934,28837.14279,31544.83844,27338.75574,28840.71889,40421.5201
Oak,39,49,22741.29794,23976.47643,26554.79126,19977.02617,21184.76344,23710.39702
Oak,49,64,30828.5397,36586.86297,31227.00848,27461.63401,25878.54451,38583.20154
Oak,64,76,18957.40293,18838.5405,18447.11427,19398.6967,16495.44806,21932.37886
Oak,76,95,24961.06648,21976.52914,24762.5714,29214.78762,24661.84249,27929.01317
Oak,95,118,19385.96127,31793.56506,22007.4165,-99.99,-99.99,-99.99
Oak,118,152,25257.81919,35705.90503,26099.22049,-99.99,-99.99,-99.99
Oak,152,181,11401.01937,19679.05136,16676.46267,-99.99,-99.99,-99.99
Oak,181,228,28653.2781,12646.3521,22775.20464,-99.99,-99.99,-99.99
Oak,228,284,2160.272851,22865.23471,17968.27449,-99.99,-99.99,-99.99
Oak,284,365,23672.69667,25603.83364,32460.07193,-99.99,-99.99,-99.99
Pine,0,1,2085.365738,1886.69083,2142.914947,2504.477254,2191.160361,1771.230921
Pine,1,4,7555.128809,4605.80848,11149.31277,14752.61191,9689.482299,6151.812425
Pine,4,7,13095.12989,13970.47201,8636.062169,13586.18574,14050.44397,8273.242047
Pine,7,10,10917.08131,11287.96053,10969.31393,12537.12151,9662.807619,12055.14435
Pine,10,15,5681.721979,7990.810721,15259.93361,15757.93422,15720.3248,4278.371837
Pine,15,20,3112.451081,9826.443616,1438.972203,2286.012598,9413.093152,3227.926767
Pine,20,28,13480.30358,12209.56329,13042.65026,13857.59092,15645.93291,18498.94463
Pine,28,39,13738.95748,13515.01336,14932.46314,14667.09583,15785.52195,17621.08706
Pine,39,49,10060.14585,13481.38747,12197.65339,9910.549778,10842.83556,11667.91936
Pine,49,64,15219.37116,16492.78132,15961.81418,13510.65067,13851.61022,15529.10199
Pine,64,76,10724.24414,11090.40781,9908.832641,8865.829887,10180.33969,8697.361919
Pine,76,95,10969.06506,16394.12369,16587.15645,12877.96656,5239.40061,11490.44671
Pine,95,118,15573.57825,15210.03124,20016.02201,-99.99,-99.99,-99.99
Pine,118,152,20360.90419,21390.26471,33514.48316,-99.99,-99.99,-99.99
Pine,152,181,16801.5675,13492.86381,14732.09676,-99.99,-99.99,-99.99
Pine,181,228,20581.23045,18781.55013,607.521556,-99.99,-99.99,-99.99
Pine,228,284,17143.06233,14540.98435,873.950828,-99.99,-99.99,-99.99
Pine,284,365,25158.29668,23441.56856,622.782027,-99.99,-99.99,-99.99
