Litter,1,2,3,4,5,6,7,8,9,10,11,12
Alfalfa,185163.8,185311.4,185007.1,184675.1,185136.2,185108.6,185942.6,186090.9,185785.3,185451.8,185914.9,185887.2
Ash,189588.3,189862.3,189711.2,189635.6,189919,189739.6,438612,439246,438896.3,438721.5,439377.2,438962.1
Bluestem,528703.8,528993.6,528203.7,528941,528256.3,528414,548597.1,548897.8,548078.1,548843.2,548132.7,548296.4
Oak,251271.6,252314.1,252125.5,251899.5,251572.9,251485,371131.4,372671.1,372392.7,372058.8,371576.4,371446.5
Pine,244544.7,244654.4,244593.6,244447.3,244910.3,244703.3,440990.8,441188.6,441079,440815.2,441650.2,441276.8
