Litter,1,2,3,4,5,6
Alfalfa,885441,886147,884692,883104,885309,885177
Ash,933217,934566,933822,933450,934845,933962
Bluestem,884834,885319,883997,885231,884085,884349
Oak,951619,955567,954853,953997,952760,952427
Pine,1049978,1050449,1050188,1049560,1051548,1050659
