Litter,Initial_date,Final_date,1,2,3,4,5,6
Alfalfa,0,365,17.823,19.64,22.996,26.374,28.199,31.54
Ash,0,365,10.195,-16.984,-36.083,28.169,1.016,-18.098
Bluestem,0,365,-14.38,-2.807,11.245,1.065,12.646,26.675
Oak,0,365,-2.045,25.636,23.006,32.245,60.068,57.413
Pine,0,365,-10.152,-13.093,-23.708,34.54,31.62,20.994
